Date,AccountID,DeptID,Amount
2024-08-05,1010,D03,2727.01
2024-07-04,5020,D02,-465.76
2024-08-03,1010,D02,1080.39
2024-09-13,5020,D03,-2645.31
2024-04-29,1010,D02,151.39
2024-12-06,4010,D03,2648.88
2024-07-15,6220,D01,-4734.55
2024-12-06,6210,D99,-4042.74
2024-12-24,4010,D99,937.79
2024-09-22,5010,D03,-875.65
2024-09-04,1010,D03,3256.07
2024-01-18,6210,D02,-3639.54
2024-08-10,4020,D99,2733.27
2024-08-28,4020,D03,4253.16
2024-06-12,5020,D01,-4957.59
2024-08-23,4010,D99,2761.48
2024-03-14,2010,D02,3101.28
2024-03-12,4020,D02,2827.17
2024-12-20,5020,D03,-3028.17
2024-09-13,2010,D01,4553.66
2024-01-24,6220,D03,-1294.07
2024-11-12,4020,D99,1753.54
2024-08-31,5020,D02,-2331.35
2024-08-23,1010,D99,3661.41
2024-07-21,4020,D99,444.2
2024-05-10,4010,D01,2569.33
2024-11-06,4020,D99,3057.14
2024-03-23,5020,D02,-388.19
2024-09-25,4020,D01,3754.18
2024-04-14,1010,D99,1431.5
2024-06-18,4010,D03,4135.41
2024-01-30,6220,D01,-4755.22
2024-03-30,6210,D99,-1351.61
2024-04-05,6220,D03,-4549.73
2024-11-14,5020,D03,-1370.67
2024-08-26,1010,D99,4766.68
2024-10-10,5020,D02,-2199.79
2024-01-25,2010,D03,3129.65
2024-04-25,4010,D01,3377.77
2024-01-29,5010,D01,-559.7
2024-04-19,6210,D99,-2222.56
2024-09-19,4020,D03,2182.33
2024-08-25,6220,D03,-2917.26
2024-07-23,5020,D03,-2064.58
2024-07-18,6220,D02,-4957.26
2024-06-17,2010,D02,246.97
2024-05-15,4010,D99,2010.37
2024-01-13,5010,D02,-3987.24
2024-04-28,1010,D99,4463.48
2024-12-03,1010,D03,1732.75
2024-01-17,1010,D01,2882.09
2024-12-08,5010,D03,-4459.2
2024-11-13,6210,D03,-1568.05
2024-04-08,1010,D03,2240.27
2024-08-11,1010,D01,262.84
2024-09-09,5010,D01,-3576.42
2024-03-02,2010,D03,4869.41
2024-11-01,1010,D01,222.42
2024-08-17,2010,D03,2023.19
2024-10-12,5020,D02,-2503.04
2024-10-16,4010,D99,2288.63
2024-05-09,2010,D03,2413.86
2024-07-08,5010,D99,-1772.91
2024-03-10,5010,D02,-1148.78
2024-08-15,1010,D99,3550.62
2024-02-28,6220,D02,-3851.5
2024-12-28,1010,D03,1075.23
2024-06-07,4020,D02,2289.91
2024-01-05,4020,D03,2173.94
2024-10-01,5020,D03,-2580.93
2024-12-25,6220,D01,-235.66
2024-07-21,4020,D01,1621.4
2024-06-19,5010,D02,-2544.93
2024-08-19,6210,D02,-4501.53
2024-06-05,6210,D03,-950.3
2024-12-10,6220,D01,-1938.91
2024-10-22,5010,D99,-150.66
2024-04-22,4020,D03,4051.53
2024-03-10,1010,D99,3423.27
2024-05-23,6220,D99,-2152.36
2024-04-26,1010,D02,416.3
2024-11-18,2010,D01,4579.76
2024-12-23,6220,D01,-628.08
2024-06-11,2010,D99,1622.49
2024-04-20,4020,D01,2683.57
2024-08-19,5010,D99,-1910.43
2024-01-29,4020,D03,4724.67
2024-02-17,5010,D02,-1727.66
2024-08-02,5020,D01,-3812.33
2024-12-19,1010,D03,1879.06
2024-03-21,4010,D03,3265.16
2024-01-16,4010,D01,4937.33
2024-05-26,4010,D03,2712.15
2024-11-18,6220,D01,-343.11
2024-05-16,5020,D01,-3494.29
2024-09-04,4020,D01,408.58
2024-06-16,4020,D99,2759.56
2024-08-26,6210,D99,-150.6
2024-07-06,5020,D99,-2469.33
2024-09-12,1010,D03,2107.7
2024-03-09,4010,D02,4903.94
2024-11-22,2010,D99,1442.85
2024-07-13,6210,D02,-2912.88
2024-05-22,4020,D01,262.97
2024-10-27,6210,D02,-2294.21
2024-10-11,4020,D02,4545.93
2024-04-20,5020,D99,-276.67
2024-08-31,6210,D01,-4877.2
2024-10-27,4020,D02,1810.56
2024-04-06,2010,D99,1090.17
2024-05-17,5010,D03,-3444.1
2024-04-19,2010,D02,3545.67
2024-02-14,6210,D02,-4090.88
2024-04-16,4010,D01,4181.81
2024-12-06,1010,D99,465.54
2024-07-17,6210,D03,-3325.42
2024-02-09,1010,D99,3412.26
2024-10-17,6210,D99,-3985.93
2024-04-16,4020,D99,251.39
2024-11-17,5020,D01,-1341.06
2024-04-18,4010,D99,244.03
